Name,Website,City/Region,BC Region,Category,AI Focus Areas,Short Blurb,Status,Data Source
Unblocked,https://getunblocked.com,Vancouver,Lower Mainland,Start-ups & Scale-ups,"Developer AI, Code Intelligence AI",AI platform helping developers understand AI-generated code and legacy codebases,Active,BATCH Research January 2025
Defang,https://defang.io,Vancouver,Lower Mainland,Start-ups & Scale-ups,"Cloud AI Deployment, DevOps AI",Simplifies cloud app deployment from Docker Compose to production-ready AWS/GCP,Active,BATCH Research January 2025
Fintel Connect,https://www.fintelconnect.com,Vancouver,Lower Mainland,Start-ups & Scale-ups,"Performance Marketing AI, FinTech AI",Partner marketing platform built for financial industry with AI-powered monitoring,Active,BATCH Research January 2025
Mobcoder,https://mobcoder.com,Vancouver,Lower Mainland,Service Studios / Agencies,"AI App Development, Mobile AI Solutions",CMMI Level 3 certified mobile and web app development company with AI division,Active,BATCH Research January 2025
Simform,https://www.simform.com,Vancouver,Lower Mainland,Service Studios / Agencies,"Generative AI Development, Custom AI Solutions",Premier digital engineering company specializing in generative AI solutions,Active,BATCH Research January 2025
Cloudburst Research,,Vancouver,Lower Mainland,Start-ups & Scale-ups,"Computer Vision, Image Processing AI",UBC spin-off created AutoStitch technology acquired by Google in 2015,Acquired,BATCH Research January 2025
AIEX,https://aiex.ai,North Vancouver,Lower Mainland,Start-ups & Scale-ups,"Computer Vision, Data Science",AI-based industry solutions platform for digital inspection and quality control,Active,Network Research January 2025
MoogleLabs,https://www.mooglelabs.com,Vancouver,Lower Mainland,Service Studios / Agencies,"Data Science, AI Applications",Leading technology and product development company providing automation solutions,Active,Network Research January 2025
AI Scout Solutions,https://aiscout.framer.ai,Chilliwack,Lower Mainland,Service Studios / Agencies,"Data Science, AI Applications",AI consulting development and implementation services for specific business needs,Active,Network Research January 2025
Timezyx,https://timezyx.com,Vancouver,Lower Mainland,Start-ups & Scale-ups,"CleanTech AI, Data Science",Digital twin technology helping cities adapt to climate events,Active,Network Research January 2025
Bell Canada AI Data Centre Kamloops,https://business.bell.ca,Kamloops,Interior,Enterprise / Corporate Divisions,"MLOps, Data Science",Bell Canada AI data centre network location part of six-centre supercluster,Active,Network Research January 2025
RIVAL Technologies,https://www.rivaltech.com,Vancouver,Lower Mainland,Start-ups & Scale-ups,"Data Science, AI Applications",Pioneer of conversational research serving 90% Fortune 500 customers,Active,Network Research January 2025
CelebrateAlly AI Inc,,Vancouver,Lower Mainland,Start-ups & Scale-ups,AI Applications,AI celebration and social platforms,Active,New Ventures BC 2025
ChatMetric Technologies Ltd,,Vancouver,Lower Mainland,Start-ups & Scale-ups,AI Applications,AI chat analytics technology,Active,New Ventures BC 2025
Effie Agentic AI,,Vancouver,Lower Mainland,Start-ups & Scale-ups,AI Applications,AI agent technology platform,Active,New Ventures BC 2025
Facili.ai,,Vancouver,Lower Mainland,Start-ups & Scale-ups,AI Applications,AI facilitation tools,Active,New Ventures BC 2025
FutureTwin,,Vancouver,Lower Mainland,Start-ups & Scale-ups,AI Applications,AI digital twin technology,Active,New Ventures BC 2025
HannahHR Technologies Inc,,Vancouver,Lower Mainland,Start-ups & Scale-ups,"HR Tech AI, AI Applications",AI HR solutions platform,Active,New Ventures BC 2025
SkyAcres,,Vancouver,Lower Mainland,Start-ups & Scale-ups,"AgTech AI, AI Applications",AI marketplace for agriculture,Active,PDF Research Discovery
Atome Bakery,,Vancouver,Lower Mainland,Start-ups & Scale-ups,"FoodTech AI, AI Applications",AI-powered food delivery platform,Active,PDF Research Discovery
Blanka,,Vancouver,Lower Mainland,Start-ups & Scale-ups,"Beauty Tech AI, AI Applications",Beauty brand AI platform with $2.7M seed funding,Active,PDF Research Discovery
Verdi,,Vancouver,Lower Mainland,Start-ups & Scale-ups,"AgTech AI, AI Applications",Agricultural AI solutions post-2020,Active,PDF Research Discovery
ESG Analytics,,Vancouver,Lower Mainland,Start-ups & Scale-ups,"ESG AI, Data Science",ESG AI analytics platform post-2020,Active,PDF Research Discovery
Beam AI,,Vancouver,Lower Mainland,Start-ups & Scale-ups,"Healthcare AI, AI Applications",Real-time stress monitoring AI,Active,PDF Research Discovery
EXAMIND AI,,Vancouver,Lower Mainland,Start-ups & Scale-ups,"EdTech AI, AI Applications",AI exam management platform,Active,PDF Research Discovery
Avivo Biomedical,,Vancouver,Lower Mainland,Start-ups & Scale-ups,"Healthcare AI, Biotech AI",Blood conversion AI founded 2020,Active,PDF Research Discovery
Scope Carbon,,Vancouver,Lower Mainland,Start-ups & Scale-ups,"CleanTech AI, Data Science",AI data processing for carbon management,Active,PDF Research Discovery
Generation R Consulting,,Vancouver,Lower Mainland,Service Studios / Agencies,"AI Ethics, AI Applications",AI ethics assessment UBC-based consultancy,Active,PDF Research Discovery
Convergence Concepts Inc,,Vancouver,Lower Mainland,Service Studios / Agencies,"NLP/LLMs, ML Applications",NLP and ML products development,Active,PDF Research Discovery
NINEBIT Computing,,Vancouver,Lower Mainland,Service Studios / Agencies,"Generative AI, AI Applications",Generative AI development services,Active,PDF Research Discovery
Krazimo,,Vancouver,Lower Mainland,Service Studios / Agencies,"Generative AI, AI Applications",Generative AI solutions provider,Active,PDF Research Discovery
LimeSpot,,Vancouver,Lower Mainland,Established Companies,"E-commerce AI, AI Applications",E-commerce personalization AI platform,Active,PDF Research Discovery
UrtheCast,,Vancouver,Lower Mainland,Established Companies,"Satellite AI, Computer Vision",Satellite imaging AI technology,Active,PDF Research Discovery
Amanda AI,,Vancouver,Lower Mainland,Established Companies,"Computer Vision, AI Applications",Facial recognition AI systems,Active,PDF Research Discovery
Active Witness,,Vancouver,Lower Mainland,Established Companies,"Security AI, Computer Vision",AI security cameras and surveillance,Active,PDF Research Discovery
Finger Food Studios,,Vancouver,Lower Mainland,Service Studios / Agencies,"Business AI, AI Applications",AI business solutions development,Active,PDF Research Discovery